Review Count,title,rating,x
1,2 Star not worth,1,Battery life is worst . Even normal use call whatsapp battery drain fast 1 day backup only . Don't go for iphone 13 if u want battery backup. And Android user don't go for iOS lot of disadvantages are
2,Disappointed,1,Its my first iPhone. Im completely disappointed with this so called “brand apple iphone”. Its getting very hot during use and charging. I strongly recommend dont buy apple products. just go for oneplu
3,Phone got hot and touch not working,1,Since I bought this product through Amazon phone touch was not working as par and while charging phone got heat a lot.And after one day of purchase my phone is not working . Touch is also not working.
4,I Suggest Don.t Buy,1,This is wrost Mobile After 2 Day use It's Hiting To Much When Charging...Battry Charging Slow..... And When Play Bgmi..it's battry drain To fast with Full Hiting Mobile...
5,Don’t buy this product from Amazon,1,Don’t buy this product from AmazonReturn/Replacement is not initiating by amazonReceived defective product
6,Overheating,1,Heating heating heating. Not expected from a phone with such price
7,Its i just a robbery,1,Its better to buy samsung or nokia
8,Phone heating,1,"The phone is heating badly when put on charge. And when on use of 15mins , the phone is getting heated up"
9,Charger not provided with this iPhone why?????,1,Charger not provided by apple
10,Same as iPhone 12,1,No big upgrades at all!! It’s the same as iPhone 12 except that they changed the camera designed! Apple STOP FOOLING US
11,Don’t buy this phone,1,You can buy two to three Samsung/Other best mobiles with this specifications.. not up to the mark. Only camera got changed compared to iPhone 12
12,Not good,1,Very expensive and not working well as I was thinking about it so I think this is my wrong selection.
13,wastage of money,1,wastage of money. better go for Iphone 12 pro. amazon Great indian sale also ll be there at 4th oct just grab ip12pro with huge discount. and iphone13 assembled in China but 12pro assamble in India
14,Useless product ever by apple even more costlier,1,"I don’t know why they are doing this kind of things i mean at 70k even you don’t get the 120hz display, at least 90hz must be there. Only camera improvement, instead selling phones why they don’t sell apple DSLRs ."
15,Lmao apple sucks,1,"This phone sucks buy samsung, buy oppo, buy oneplus, even mi is better than crap apple. Don't but this crap. I regretted it, you will too."
16,Not worth,1,"Could've been better, this is just such a small update.. I'd say stick to your old iPhone 12 if you have it.. if not then maybe think of buying this"
17,Apple is trying to loot people,1,You have to pay 95000+ for this stupid phone which doesn’t make any sense especially when they don’t even pack a charger and 120hz display in such an expensive phone. Buy Google pixel phone instead.
18,Country of Origin ?China,1,"Country of Origin ?China,you can decide your own. But India origin and manufacture only. Thank you for considering it."
19,Worst phone for isheeps.,1,Buy samsung. Not worth for 60hz in 2022 . Boycott apple products . This is a below standard phone with huge notch .
20,Overpriced,1,No biometrics with many UI flaws. Too expensive at 90K range.Better wait for new versions so that the price will drop for this version substantially.
21,Trash phone,1,"I have made a mistake of going with the hype and buying the iPhone...It's a useless piece of trash for 50k. No functionality whatsoever. Just a piece of showoff,nothing else. I also have put up an ad olx.Rather go for samsung S series"
22,Not satisfied,1,Dislike it
23,AVOID AMAZON FOR APPLE PRODUCTS!,1,"Strongly recommend DO NOT BUY any apple products either airpods, ipads, mac, iphone or even apple pencil or charger from Amazon! Because even after the ""7 days replacement"" note on the seller or the product page, Amazon not gonna provide you a straight simple easy-going replacement at your door step"
24,Good,1,Not buy due to money problems.aspo jui fds bgf and tell i am senior citizen 65 years old will be there
25,Camera does not work.,1,The camera app opens on 2X with a blank screen No amount of reset or reconfigure works. Amazon support does not allow to place return/replace request. They bounce you to Apple support.Very poor service. Very poor product. I have been using Apple products since 2015
26,I dont recommend apple products to buy online,1,"It has scratch on screen , and no one is ready to take responsibility, Amazon nor apple. For the same. Sorry but after this I recommend pay extra at store and purchase apple products rather online. As amazon say this is only with apple products but never know might get applies to all products in fut"
27,NEVER BUY IPHONE FROM AMAZON,1,
28,Ghost touch and don’t touch,1,I ordered this phone. The display touch is not working properly as I am facing ghost touch issue as well. I had requested for replacement but the Amazon team didn’t respond. Am really disappointed with Amazon team.
29,Voice is not clear pls replace it,1,Voice is not clear pls replace it
30,Don't ever buy iPhone in amazon,1,I got the mobile 2 days ago and the moment I put in charge its getting over heated. I called amazon and requested for return/replacement and they are not at all responsible for the product once its sold. I had call with apple customer care and they also said same. If I got mobile from amazon then am
31,Becarefull before purchase,1,There is no replacement with this product . I item I received is getting heated up for small usage. Please be careful while buying this . Now I spend 33k on a mobile which is not as expected
32,Seems to be refurbished phone,1,had purchased IPhone XR on 10th November ….The handset’s mic had the issue which was only solved by replacing the new IPhone XR with your excellent customer service.To my regret the replaced IPhone XR is facing the same problem…Possible apple replaces with the refurbished phone by fooling the custom
33,Defective product,1,After use of 2 days i face issues in my iphone. Amazon send me defective product. When i tell for return he denied.Not happy with amazon.
34,Defective piece delivered by the seller.,1,
35,"My one product iPhone XR 64Gb White, it's already Box opend from your side",1,
36,Don't go for apple unless u touch n like the product,1,"I purchased it and wanted to send back but no return, even I tried to exchange, they didn't accept and asked me to contact apple store...thank god that they are not asked me to talk to Steve Jobs...don't go for this product..."
37,So bad iPhone I have ever had,1,"Wrong colour phone was sent to me. It’s heating up high while I’m on call, use internet, surf webs, etc. Dial pad not working while I called on Custome care number of apple support.. waste of money, pls don’t buy this. Adding to which Amazon is not taking any responsibility once it is delivered unli"
38,Don’t buy it from this seller.,1,"Initially when I got this, I had a hint that something was amiss, looked like someone had used it before, but still kept it.. not at all happy with it. It hangs a lot. Not happy with the purchase. Will not recommend."
39,VERY DISAPPOINTING. BETTER NOT BUY,1,Phone is heating up within 5minutes of talking or charging. Purchased from Amazon ignoring all negative reviews about the product with trust in Amazon. Requested for Return. No response from Amazon or from the seller. Disappointed.
40,Defective item received.,1,Pathetic speaker quality. There is a lot of disturbance hearing other person on every call be it a video or a normal voice call. Not satisfied with the item and when I requested for a replacement on the very 2nd day after receiving the item. It directs me to Dealer or Service Centre. This is not acc
41,Network issue,1,Low network coverage and nobody wants to take responsibility nor Amazon not apple not jio
42,Sound quality is worst,1,"You guys are just fooling around.. Received phone today, it is manufactured defected one. I can't able to hear voice on call. Secondly ringing volume is full but still one can't hear ringing sound. When I contacted to Amazon customer they said you need to contact Apple customer care. I mean I am usi"
43,Backspace is not working,1,I ordered today and once I doing the phone setup I see the keyboard backspace button is not working when I am trying to replace the item the Amazon is showing me to go to service centre it's really a bad experience never turst on online products
44,Over heating problem,1,"I have received mobile yesterday, as battery was dead so put mobile for charging and started heating very much in just 5 minutes. So I've removed the charger, than again I've tried after some hours it's same over heating in just 5 minutes. Kindly help me to return this."
45,Battery and small sound inside and also auto turning off,1,please replace my product or else i will complain a case against you be careful and also dont blame me for any problems from polics this is my last warning please reply or else you will suffer with big problem please be careful or else contact me
46,Needs improvement,1,We can't expect so much at this price from Apple...but some things need improvement ... battery life is too much lesser... overall a good buy 4out of 5
47,battery charging is not happening,1,Suddenly i found battery charging is not working properly on this iPhone. Return window is over and now I am unable to find a way to return/exchange. please contact me.
48,the phone does not work,1,so DISAPPOINTED. The phone does not work properly. Stuck with this product after spending so much money on an iPhone.
49,fake product,1,Received fake product.
50,Sound quality is not good and amazon customer care not supported,1,Value for money and sound quality is not good
51,Too bad quality from amazon and appario retail limited,1,"While first time charging itself iphone XR is getting overheated, and then no response from amazon customer care, iphone xr quality in amazon is tooo bad,they have removed call option now"
52,No charger no headphones don't buy it wasn't of money,1,Waste money
53,we,1,I have purchased 2 No's of iPhone XR no Power Adapter in the box; please arrange for the same.
54,Camera,1,Camera quality is too bad
55,Even after bad reviews I trusted Amazon & I paid the heavy price,1,Stereo speakers aren't working but Amazon says they don't return the product whatever it maybe
56,Waste,1,Simply waste
57,Mic on the phone is poor. Conversation are often hello hello hello. Mic really sucks.,1,Mic on the phone sucks.
58,I received scratch on phone,1,Received scratch phone on delivery.....Not satisfied with delivery and product
59,"Got a bend product , the main problem is I noticed it after when the return period is over.",1,After using 1 month I noticed a slight bend. Feel very bad about it .
60,No,1,No Accessories with Device.. it was a bad experience
61,Overheat while playing PUBG,1,We cannot show it any photo or video
62,Mic is not working,2,"Hi there,My iPhone 13 has problem regarding mic and signal dropsI had iPhone xs before never had this issue, after using iPhone 13 I got so many complaints about my voice getting drop during callOk ca"
63,Got seal broken mobile all my excitement is gone. Very bad experience from amazon for the 1st time.,2,while i receive the box seal is already broken but there is not damage. Delivery of seal broken mobile is very bad that’s why i am giving 2 rating. Tried to contact amazon but no use from the operator
64,Received damaged product,2,Recently purchased an iPhone 13 but it has scratches around camera and amazon not replacing it saying contact to the apple
65,Maja nai aaya,2,Maja nai aaya sach bolu pichhla wala hi haiKuch naya waya karte nai hai yeh apple waale bilkul maja nai aaya
66,Dont buy,2,"Please consider any other iPhone / phone.Am saying this NOT because of the performance issues. Performance is very good.but this phone doent survive a small fall. If it got dropped from a height of 2ft, the front glass breaks.I have Spigen back cover still got two breaks since in three months... pla"
67,"Don't buy XR, buy 11",2,"Even if you are getting at lower price, don't buy this, buy iPhone 11 or 13. Don't buy 12 also."
68,Don’t waste your money,2,This iPhone XR is 2018 model manufactured in October 2020. Received at battery completely dried condition. The worst part is now Iphones are supplied without charger. Phone package is also not having any damper proof seal. For Rs 33999 is it advisable to buy a 2018 model one year old stock even with
69,Poor quality of camera,2,
70,Bill is not in box,2,Phone is ok but bill is not in box
71,Hanging problem,2,After using 1 week phone start hanging. I wanted to exchange this product but one day delay for replacement complaint
72,Battery gets dry fast,2,"I have using this cell for last 6 months, Over all usage is excellent but battery gets dry fast"
73,Unsatisfied,2,"Highly heating problem, got dust inside the camera, really m very upset with this product."
74,Charging cable not given,2,"Charger and headphones not provided, wifi not connecting"
75,After 1 month camera not working,2,I m buying this iphone after one month camera not working
76,It’s Made in India and not in The USA,2,It’s Made in India and not in The USA
77,Touch is not up to the mark and software is too cumbersome and has snob value,3,Battery drains fast and it should not be priced more than Rs 60000
78,Poor camera,3,"Camera is very poor like 15thousand rupees mobile, if you want to buy camera phone please dont buy it, price is no justified the camera."
79,Well. I expected a better battery for this,3,Well. I expected a better battery for this.Rest all is pretty well
80,Good phone,3,Good phone
81,Nice,3,Supar
82,Battery,3,Battery life is very poor
83,A phone with a great Processor And Less battery backup,3,
84,"It's single Sim slot iphone, Amazon has not given complete details about product",3,"It's single Sim slot iphone, Amazon has not given complete details about product, I was little upset, wanted to buy Dual Sim iphone , I request Amazon has to make sure to provide complete details"
85,Okay kind of product,3,"Design and build quality is top notch. Overal Average product. Signal reception is worst( always 2 bars or 1 bar of network),Even on iPhone 13 Nd 13 pro. So unable to enjoy on mobile network. Can’t share Hotspot, it doesn’t connect to any device. It’s a shame that I’m unable to use mobile network ev"
86,packaging was very very bad. Delivery box was already opened.,3,"Everything was good but packaging was very bad, when the item arrived the delivery box seal was tampered, though phone box seal was intact but I didn't liked it, it gave me a shock as I already read quite a few negative feedback in comments already. However, I opened the phone box seal and the phone"
87,Battery getting heated up while charging,3,Phone getting heated up while charging using at genuine apple charger also..
88,Good but not the best,3,Every thing is good but I feel that camera could have been better. Oneplus has better camera but SAR radiation is more in oneplus. This phone is overall good and great look and feel.
89,Display shaking,3,Display shaking sometimes I think I got refurbished seal also open don’t cheat people like this
90,Really good but battery life is F,3,Bad battery life other than that a good phone.
91,Phone gets hung,3,Not up to mark.Phone even gets off.
92,So much heat on every process,3,Mobile so much heat on every process
93,Some times screen goes blanks while on going call,3,Sometimes screen goes blank while on going call
94,Good,3,Good one
95,Good....!!!,3,It is very good quality and camera also.
96,Delivery very late but device is awesome,3,Very nice performance bettery is less
97,Battery life,3,Not Satisfied
98,Best phone,3,Best product
99,Nice mobile but facing some heating issues,4,
100,Nice One,4,First thanks to Amazon for providing the original product. Battery backup seems to be good which was the main issue with iPhones. The only cons I have noticed is a low signal in some areas.
101,Good device but the value to money ratio make it questionable ??.,4,"Got it for 63k during an offer ,still the price is bit hight ."
102,Flare on camera image,4,There is a Light source flares on camera image when you direct your phone camera on light source. This is creating green light spot on image. It is problem with the iPhone lens. I don’t recommend this
103,Nothing seems new,4,Good offers
104,Nice for iPhones lover,4,"If you want to switch android to iOS, so take iPhone 13 and also carry your old android phone because face many problems in iPhones, not allowed double apps, Two physical sim,etc"
105,Processor speed is awesomeness,4,It’s was awesome its speed is great I play many games but battery is not good but it’s great firm simple use
106,Ios shift from android,4,Updated from android to ios.Not a pleasent experience immediately gets used to it after some time.Andraid was way much user-friendly.
107,Must buy its worth it,4,
108,Good phone But camera is not impressive.,4,Camera is not impressive comperative its old phones.
109,"No audio jack, 3.5mm , single sim",4,"Only secure , camera etc."
110,"Phone hangs , not worth the spend.",4,Absolute rip off. Phone keeps hanging.
111,Sim slots,4,It’s good
112,So So,4,Not justified it's cost
113,Battery life is great,4,Its a topical iPhone similar to previous gensBut the battery life is incredibly.
114,Almost perfect,4,Phone’s a little heavy and rest of the things are good. Got it for a pretty good deal.
115,got the phone today in great condition ????????,4,"all in great condition, but since it's not the usa version there is no 5g antenna, but overall fine"
116,Awesome,4,Liked the phone
117,One of the best phones out there right now,4,So I ordered this phone from apple’s official website. And have been using this for the past 1 week and trust me it has one of the best batteries you will find on any phone. I am a moderate user when it comes to cellphones i.e the basic Instagram Facebook WhatsApp YouTube and Netflix. This phone if
118,"Okay, not bad",4,Used it for a week... Not bad. Battery life is very good but no difference between iPhone 12 and this
119,Good,4,Good mobile phone but screen less and uses of phone very user friendly and disappointing for charger not including in price
120,iPhone 13 is in similar league as most iPhones are!,4,"Scores high on style, looks, great camera, fast. iPhone set-up from previous versions of iPhone is very very fast and smooth. Entire set-up took just 10-15 mins and everything was copied over w/o any loss of data. Face ID set-up is very powerful. Battery life could be still better. Obviously price p"
121,Very good,4,All is well but siri doesn’t work maximum time. Its too much boring to turn on and off siri to make it listen.
122,"Hyped as well as expensive, minor upgrade over Iphone 12.",4,"The smartphone marketplace has changed drastically over the span of the past few years. Over the years, it has become more competitive than ever before with a lot of smartphone makers launching their flagship devices every six months. Amid these challenging times Apple, like a bunch of other compani"
123,Best purchase,4,"I was really hesitant to buy any apple product from online store at the same time was tempted with the deal on Amazon,and couldnt stop myself from ordering..Did all kind of checks after receiving such as If its a genuine one or not by checking the serial number on the apple website .I was thrilled t"
124,GO FOR IT _ EVEN I HESITATED AT FIRST,4,"I really was hesitant to get this phone mainly cause of the many negative reviews but the ones that did sound positive made me have hope that I might get a legit phone too. I was really hoping to not get scammed and proven I am not. I ordered this phone on the 17th and I received it today, the 20th."
125,Nice Smart Phone,4,Please don’t go by the Negative ReviewsIt’s best Budget Smart PhoneBattery last for 2 days for average useBattery Charger not available only cable is givenBut u can Easily purchase adapterIt works same way as Apple 13. Same OSWHY PAY ADDITIONAL 1 LakhThis rate is best @34999
126,It’s an iPhone and it lives up to its reputation.,4,Phone is certainly good as per its reputation. It’s and iPhone. Price wise it’s on higher side without charger. Charger should be provided along with the phone to at least first time buyer.
127,dont buy iphon for Dobly atmos songs,4,if you want to listen dolby atmos songs you should have Airpods along with your Iphone
128,Only the space issue,4,The product is good. I’m writing this review after using it for more then a month and it’s working fine.Though I was not sure if I really want to buy this kind (money) of purchase because of the negative reviews. But it’s good to go or maybe my luck that’s the headset is working fine.Only issues I f
129,Lol,4,Lol
130,If we ignore the camera performance. Everything else is steller.,4,Knowing the price point and Apple's software support it's a prolific device. But the camera has aged and nighttime shots are pretty bad compared to smartphones at 35k price point. Otherwise other features are still at par with the flagship killers.
131,Product was good..,4,
132,Still good one,4,"I believe apple will this mobile support till 2025, so you can buy without any dilemma. Still it is good than same price range android mobiles. Go for it without any second thought"
133,Worthy,4,"if you want to buy apple product and your budget is below 40k than this is the best iPhone you get,camera works reall well,display is outstanding you cannot feel that screen is LCD and best part is stereo speakers awesome and performance of phone is incredible.go for it"
134,This is my second one,4,This value for money. Case is not like other apple phone improve littile bit.
135,An absolute beast at it’s price range,4,It’s been almost 3 months since i bought this great phone. It has a good quality camera and battery life. The build quality is really nice with great color options to chose from.
136,Cheapest Iphone with a Bigger Screen,4,"Cheapest iphone with 6.1 Inch screen, super premium feel . Coming from Android to iOS but it's really very smooth , my previous phone was Asus ROG Phone3.. .BGMI optimisation is really good but battery life is not that great major turn off."
137,Okaish phone ?????,4,"Heats up while charging, cam is ok, screen is okay, ui is good over all 4/5 stars..."
138,Great phone for its price,4,"Exchanges old iPhone with this , it’s been almost a month now and very happy with the purchase. I was in doubt because of few bad reviews. I did not had any issue till date !! So happy shopping"
139,Missing of charger is really disappointed.before ordering it u should order charger first.,4,Overall performance is fabulous and mind-blowing. Charger not available in pakage Disappointed me lot. No ear phone.
140,"I'm very lucky to get this mobile,very happy with this deal mobile is very nice",4,It have not fingerprint reader but face recognition is very accurate..
141,Apple Adapter & Earphone Missing,4,At least Power Adapter should present on Box for New iPhone user.
142,I already buyed 2 i phones from amazone but i still face same problems that is Heating,4,But i think heating is the issue but its ok becouce it cants create any of the problems So thats Good At All ??
143,Great,4,Great iPhone. Really loving this purchase.
144,Good Features,4,Super good mobile
145,"Buyed for Rs35,000",4,"For 35,000 it's just ok product , price should be less than this"
146,Iphonic,4,Shaking face while face recognition is a considerable log.
147,Best value for money!,4,"I have to say that I was a bit skeptical about this seller, as it was not appario or cloudtail but my experience was great. No damage, no delays and no fake product has been delivered."
148,IOS rocks,4,"Absolutely sturdy, fast and durable phone."
149,Good phone on budget,4,If you switching from an android phone this a very good option.the camera quality is good.
150,Amazing,4,Amazing
151,Good product,4,Good product
152,Worth it!!!!!,4,"I was really sceptical about this product before buying ,as there are lots of negative comments.I am glad I bought this!!!!"
153,Awesome product,4,It’s a good product which is also very cost effective.. it’s a good upgrade from an earlier model and is not as expensive as the new one’s.
154,Super,4,Super phone
155,Awesome... Quality nailev it.,4,"Like camera, battery is poor"
156,Average,4,"Camera, battery ,performance Everything is average, built quality is good ."
157,Lil overhitting,4,Battery goodValue fr money not so muchOther thing okay okayOverall good
158,Overall good,4,Good
159,Supar fon....,4,
160,XR,4,Mobile wise Super Camera Ultimate And Slow Vera maari????
161,Battery percentage started decreasing after 1 month,4,Battery percentage started decreasing
162,VALUE for money,4,Best apple phone under budget
163,X-r using phone is much more better of the ios system,4,Yes battery life is very good and sound is also good
164,Excellent product. Happy,4,Excellent
165,iPhone,4,Just a castly mobile only that’s all
166,Good product,4,Nice device
167,Good,5,I liket Apple phones I use in 12 but don't different small changes byclone 15.and Touch and Tha Mobile is more than small in 12
168,I’m happy iPhone 13,5,Thanks for Amazon my iPhone 13 ??
169,Best phone out der,5,"Before time delivery and original product . Apple is beyond doubt the best phone maker have shifted from flagship samsung and liking the change . The fit n fineese of ghe product is amazing , battery"
170,Go for it..,5,you really don't need to upgrade if you bought a new iPhone last year. But anyone with an iPhone 11 or older will find enough new parts and features to consider the new modelsScreenThe screen is notab
171,I loved it…Red color is awesome..,5,I’m happy with iPhone 13. It’s little bit heavy like iPhone 11 but it’s fine.
172,"Well, won't say anything you already don't know!",5,Missing features :High refresh rate displayTelephoto lensMacro modeOverall it's a great phone!
173,Awesome,5,Its a very pretty colour ... Very good experience in holding with hand ...Camera quality very special... I love listening music with in it... Friends don't think too much .... Thank you amazon for saf
174,New and nice experience so far,5,"New experience. First time using iPhone. Performance is outstanding but having issues regarding apps, music and videos ristricated by apple. Rest is superb."
175,I Live and Love Apple,5,"Amazing phone. I have had iPhones since launch of iPhone 4 and has most of them throughout. Still using 10, 12 and now 13.It’s amazing. Camera is just beyond excellence, which is basically what is nee"
176,Fantastic All around performance,5,"A great Iphone that ticks all the right boxes. Easy to grip in hand , excellent low light photos, fantastic battery life of more than 6 hours plus of on screen time Ona daily basis."
177,Good phone. Great camera. Amazing battery,5,"It’s a great phone. After my 6s plus, it’s an amazing upgrade but I wish I would have bought the pro version instead. I miss the features that phone has."
178,Absolute Beast! Worth Every Penny.,5,"The iPhone 13 offers great performance and exceptional battery life. It came with 3 months of free Apple TV + Apple Arcade subscription, and 1 month of free Apple Music."
179,Good,5,Very Very Good Mobile.Sad to say thing is charging adaptor is not in box.Should include adaptor in box.And screen guard and back cover is also suggested to add in the box.
180,Great product,5,Product is very good. I am happy with this product
181,Too good,5,In one word fantastic…. Beast of a performer..It good right balance of size and performanceBattery life is major USP of this mobile …Two major Cons :-120 htz refresh rate is must have for this price p
182,Its an ios very smooth especially dolby speaker are awesome,5,Previous mobile was one pluse 5 switched to i phone 13 and i am just fall in love with ios.Watch Lot of youtube videos about ios vs android and take decision to go for ios. Its super cool
183,Words Can’t explain how statisfied I’m ????,5,"I bought this phone for my ios app development & testing and the battery to performance just works fine , giving me a 7.51 hr of battery backup in full usage. Just awesome ??."
184,Top Notch high quality feel delivered,5,"Amazing phone , Amazing Battery life , Stunning camera , and the videos are like wooooow , every one is sure to ask you which device did you use to upload these premium quality videos . Battery is roc"
185,Beautiful Design,5,Nice product and gorgeous...!Very nice camera quality.Display is too good...Body is also good.Is has many hidden features than iphone 12 and 11 and all old products...
186,Awesome purchase was lucky to get a proper product without hiccups,5,Display performance and feel of the device along with the camera is top notch and perfect. Fits perfectly everywhere and screen is big enough to not be too small.
187,Just buy it,5,"This is first time i am using iPhone. Initial few days i was missing some feature of my old android phone but now i am loving the iPhone 13. Everything you hear on youtube about iPhone 13 is true, it’"
188,I just loved it it is an awesome phone and a investment for your 3-4 years atleast for middle class,5,
189,iPhone just rules the world,5,You don’t need to write anything when it comes to iPhone because iPhone just rules the world. Simply amazing… price is too much though. The only disappointing thing is that they have stopped giving pr
190,Is very smooth and fast.,5,"I thought upgrading from 11 to 13 would be a hassle. I could transfer all my data from 11 to 13 very easily, Never even had to connect to a pc or download an app."
191,Fantastic,5,Fantastic red .. just unboxed it so cannot say about anything else . Loved it . Thank you amazon
192,"Please buy, nice phone.",5,"Finally, I gift this mobile to my lovely wife.But it's very difficult to live with one kidney!!!"
193,Intelligent Device,5,"Intelligent device with amazing camera ,display ,multitasking support , battery performance and RAM Management"
194,Awesome one,5,"I actually was using note9 Samsung phone from past 5 Years, I work at corporate so my phone usage is a bit more and this iPhone 13 -beast of a phone is delivering on my expectations more than I though"
195,Wonderful product,5,Go on without any hesitation??
196,Good mobile but high cost,5,1. Camera Quality: good(best??)2. Battery life :Good( best??)3. Performance :Good(best??)4. Touch display :low speed ( not good??)Remaining all are good ??
197,Excellent Phone,5,"Excellent in every aspect, battery life is very good, lasts easily for 1-2 days. Worth buying."
198,awesooooome just go for it.,5,Phone looks good basically the diagonal camera. camera quality awesome. I was using I Phone6 then baught this I phone13.
199,Best phone ever owned period,5,Once you use IPhone you are not going back to android.
200,Amazing Camera and Battery for this Iphone,5,The camera is very good and the battery life is also working nice for me with this Iphone. Latest iphone at the best available price.
201,The best phone out there,5,"Best phone out there. Excellent display, battery that lasts a day for medium to heavy users, good haptics, latest software with wonderful camera. I can’t find any cons with the mobile."
202,Next level product,5,Earlier I was worried about the product after reading some bad reviews about appario but do not worry there is no such thing as this company is fraud what I think is this guys are genuine and my produ
203,Nice,5,
204,Amazing as expected,5,Great overall . First time iOS experience. Nice photos and gaming
205,My first iphone experience,5,Really really awesome model to be in hands..The display has a great variation comparable to the android mobiles.
206,Nice,5,Nice product .fastest delivery by Amazon and thanks to seller for genuine product .
207,bought it for my father today,5,"seems very good, let's see long term the long term use"
208,Super se upar,5,Iphone13 Quality is above all the existing smartphones in the world.
209,Super piece but price if it drops more it could be better I got in good deal,5,The product is superb got two days delivery
210,The premiumness you’ll feel it’s just awesome,5,Just go for it no need any explorer. Best of classRecommend to wait for any offerGot it for 73990
211,Flagship,5,"Came from ANdroid. Android has its own perks. But as a daily driver and for doing simple tasks and click pics at go, its a reliab"
212,Good camera and battery,5,Too good camera and battery life
213,Great Performance,5,Good Display... Fast performance... Great battery life for an iPhone.
214,Amazing,5,It’s very nice good quality and the best it has value for money
215,"Connectivity is good,",5,"iPhone 13 is good connectivity and sound clarity, good experience, photo quality is good,"
216,PREMIUM PHONE,5,Best in offering
217,All great as expected,5,Everything was perfect delivery was on time and product delivered perfect. All in all a good experience.
218,Superb Product,5,Nice User Experience
219,Value for money,5,I bought this i phone 13 in summer sale with a very good price and got an excellent product with set delivery date.. absolutely no issues...
220,Great Phone.,5,"Faster Face ID, great battery life, awesome picture quality and new cinematic mode."
221,Quality is good but battery life is not so good and charging is slow compare to One+ Mobiles,5,Don't like Battery life and Charging is very slow compare to One+ Mobiles
222,Upgrade,5,"If you're running an iPhone 11, any of the models in that range, then, yes, the iPhone 13 is definitely worth an upgrade."
223,Best ever iPhone,5,
224,BEST PHONE,5,THIS IS THE BEST SMART PHONE I HAVE USED
225,best,5,
226,Nice,5,Nice product and packaging
227,Amazing phone…,5,Absolutely amazing phone and its worth all the money. Good battery life and very smooth.
228,I brought yesterday from Amazon through Appario... everything is good only,5,
229,Excellent,5,As Expected iphone rocks.. High price
230,Apple is always my first choice,5,Best in quality and feature too
231,Thank you so much Amazon for fast delivery.,5,Superb battery Backup and value for money.
232,Awesome look,5,Nice
233,Worth switching from android to IoS,5,You are not paying for a phone but you are paying for the experience and picture quality
234,Perfect,5,Face id works smoothly and battery life is good
235,I Phone 13 blue color Unboxing,5,
236,Good,5,Good
237,BEST,5,Best in the line ??
238,Good Product,5,Good Product
239,The best phone for the price!,5,Loved the experience of owning the iPhone 13. A massive upgrade over the older generation of iPhones
240,Excellent Buy????,5,Just love the colour and performance as we all know ;) Every thing is just top notch????.
241,Nice product,5,Nice product
242,Awesome,5,As expected
243,Smooth value for money,5,Good productCamera is superbSmoothness is of next levelFeeling proud and feel honor
244,Wow,5,First phone amazing
245,Worth the switch from using Android based smartphone,5,"Liking the device from all the aspects (battery life, performance, software)"
246,Awesome Phone,5,Superb phone
247,Isse jordr kuch nhi ??,5,Sb jordar hai ??
248,Awesome Phone!,5,Battery life -Awesome!Photo quality -SuperbVery nice phone to use.
249,Nice product,5,Go for it .
250,Overall good but not like ultra,5,
251,Nice,5,
252,Best product ever,5,I am upgrade with newer version once they have it
253,Great performance and battery life,5,Battery life is extra ordinary. Performance is better.
254,Worth the price,5,Worth the price
255,Good one,5,
256,Good product ????,5,
